,event_id,division,round,team1,team2,score1,score2,match_link
62,7349,Division 2 X-Ball™,Prelims,JUNGLE CATS,DeaD RaBBiTs,6,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2057
63,7349,Division 2 X-Ball™,Prelims,DeaD RaBBiTs,THE FARM,6,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2256
64,7349,Division 2 X-Ball™,Prelims,CWE POWER,Tsunami,6,4,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2094
65,7349,Division 2 X-Ball™,Prelims,OAKLAND GREY AREA,Houston Zone,5,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2291
66,7349,Division 2 X-Ball™,Prelims,Colorado BLITZ,Houston Zone,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2093
67,7349,Division 2 X-Ball™,Prelims,Houston Zone,Garden State G.O.A.T.s,6,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2095
68,7349,Division 2 X-Ball™,Prelims,Garden State G.O.A.T.s,Tsunami,6,1,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2091
69,7349,Division 2 X-Ball™,Prelims,Tsunami,Colorado BLITZ,5,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2292
70,7349,Division 2 X-Ball™,Prelims,KC Missouri Allstars,Leverage ,5,0,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2103
71,7349,Division 2 X-Ball™,Prelims,Leverage ,TNB,3,2,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2107
72,7349,Division 2 X-Ball™,Prelims,New England Wreckage,TNB,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2104
73,7349,Division 2 X-Ball™,Prelims,TNB,Seattle Ninjas,4,3,/cgi-bin/showgame.cgi?EID=7349&size=255&round=0&GID=2303
